30:87:D9:02:FA:C8,90:3A:72:25:03:C8,B4:79:C8:05:B9:A8,90:3A:72:24:EF:E8,18:7C:0B:8D:E4:28,B4:79:C8:38:AB:18,90:3A:72:24:E9:68,18:7C:0B:8D:E3:E8,D0:4F:58:52:D2:90,B4:79:C8:45:BA:58,B4:79:C8:45:C2:D8,30:87:D9:41:4E:88,B4:79:C8:85:BA:18,20:58:69:0E:B5:78,80:BC:37:63:DF:50,30:87:D9:81:3B:38,18:7C:0B:8D:E2:88,D0:4F:58:52:D2:A0,B4:79:C8:05:C2:38,B4:79:C8:45:B9:C8,30:87:D9:41:4A:48
0,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,-89,0,0,0,0,0,0,0,0,,,
-51,-70,-68,-86,0,0,-89,0,0,-89,-83,0,-89,0,0,0,0,0,,,
-50,-71,-69,-83,0,0,-89,0,0,-89,-85,0,-89,0,0,0,0,0,,,
-51,-71,-68,-85,0,0,-89,0,0,-89,-86,0,-89,0,0,0,0,0,,,
-50,-70,-68,-83,0,0,-89,0,0,-89,-86,0,-88,0,0,0,0,0,,,
-51,-68,-69,-82,0,0,-89,0,0,-90,-87,0,-89,0,0,0,0,0,,,
-52,-70,-68,-84,0,0,-89,0,0,-90,-87,0,-87,0,0,0,0,0,,,
-56,-69,-67,-82,0,0,-89,0,0,-90,-85,0,-87,0,0,0,0,0,,,
-56,-69,-69,-82,0,0,-89,0,0,-90,-85,0,-87,0,0,0,0,0,,,
-58,-70,-69,-89,0,0,-89,0,0,-90,-85,0,-87,0,0,0,0,0,,,
-57,-71,-70,-89,0,0,-89,0,0,-90,-85,0,-87,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,,,
-49,-65,-71,-87,0,0,0,0,0,0,0,0,-82,0,0,-90,0,0,,,
-60,-69,-75,-88,0,0,0,0,0,0,0,0,-87,0,0,-90,0,0,,,
-60,-70,-73,-87,0,0,0,0,0,0,0,0,-85,0,0,-90,0,0,,,
-57,-68,-74,-91,0,0,0,0,0,0,0,0,-88,0,-89,0,0,0,,,
-60,-71,-75,-90,0,0,0,0,0,0,0,0,-88,-93,-89,0,0,0,,,
-60,-70,-75,-88,0,0,0,0,0,0,0,0,-87,-93,-89,0,0,0,,,
-59,-68,-73,-88,0,0,0,0,0,0,-92,0,-86,-93,-88,0,0,0,,,
-61,-70,-74,-89,0,0,0,0,0,0,-92,0,-84,-93,-88,0,0,0,,,
-53,-60,-85,-90,0,0,0,0,0,0,-92,0,-84,-93,-88,0,0,0,,,
-64,-64,-76,-90,0,0,0,0,0,-83,-92,0,-84,-93,-88,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-89.0,
-57,-62,-79,0,0,0,0,0,0,-86,0,0,0,0,-90,0,0,0,,-89.0,
-56,-60,-76,-86,0,0,0,0,0,-87,0,0,0,0,-88,0,0,0,,-89.0,
-59,-63,-78,-87,0,0,0,0,0,-88,0,0,0,0,-89,0,0,0,,-89.0,
-57,-62,-78,-87,0,0,0,0,0,-88,0,0,0,0,-88,0,0,0,,-89.0,
-56,-64,-83,-87,0,0,0,0,0,-88,0,0,0,0,-88,0,0,0,,-89.0,
-59,-64,-73,-87,0,0,0,0,0,-88,0,0,0,-91,-88,0,0,0,,-89.0,
-61,-66,-74,-91,0,0,0,0,0,-85,0,0,0,-91,-88,0,0,0,,-89.0,
-60,-64,-74,-89,0,0,0,0,0,-85,0,0,0,-90,-88,0,0,0,,-89.0,
-59,-65,-73,-86,0,0,0,0,0,-85,0,0,0,-89,-88,0,0,0,,-88.0,
-60,-65,-72,-88,0,0,0,0,0,-85,0,0,0,-89,-88,0,0,0,,-87.0,
-58,-62,-72,-88,0,0,0,0,0,-84,0,0,0,-91,-88,0,0,0,,-87.0,
-61,-66,-74,-88,0,0,0,0,0,-85,0,0,0,-92,-88,0,0,0,,-87.0,
-59,-64,-73,-91,0,0,0,0,0,-85,0,0,0,-90,-88,0,0,0,,-88.0,
-60,-65,-75,-91,0,0,0,0,0,-84,0,0,0,-92,-88,0,0,0,,-88.0,
-57,-64,-73,-88,0,0,0,0,0,-84,0,0,0,-92,-88,0,0,0,,-89.0,
-61,-66,-74,-90,0,0,0,0,0,-85,0,0,0,-92,-88,0,0,0,,-89.0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,-89.0
-53,-63,-72,0,0,0,0,0,0,-86,0,0,0,0,0,0,0,0,,0.0,-91.0
-53,-64,-75,0,0,0,0,0,0,-86,0,0,0,0,0,0,0,0,,0.0,-88.0
-53,-64,-75,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,,0.0,-86.0
-53,-65,-76,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,,-92.0,-86.0
-52,-64,-74,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,,-92.0,-86.0
-53,-65,-76,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,,-89.0,-86.0
-51,-64,-74,0,0,0,0,0,0,-86,0,0,0,0,0,0,0,0,,-89.0,-89.0
-53,-64,-74,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,,-89.0,-89.0
-57,-61,-78,-87,0,0,-88,0,0,-87,0,0,0,0,0,0,0,0,,-89.0,-89.0
-57,-61,-78,-89,0,0,-88,0,0,-87,0,0,0,0,0,0,0,0,,-89.0,-87.0
-56,-61,-76,-89,0,0,-88,0,0,-87,0,0,0,0,0,0,0,0,,-89.0,-87.0
-59,-63,-79,-89,0,0,-88,0,0,-87,0,0,0,0,0,0,0,0,,-89.0,-87.0
-53,-61,-78,-90,0,0,-88,0,0,-87,0,0,0,0,0,0,0,0,,-89.0,-87.0
-56,-64,-79,-90,0,0,-88,0,0,-87,0,0,0,0,0,0,0,0,,-89.0,-87.0
-57,-62,-79,-91,0,0,-88,0,0,-87,0,0,0,0,0,0,0,0,,-89.0,-87.0
-54,-62,-78,-91,0,0,-88,0,0,-86,0,0,0,0,0,0,0,0,,-89.0,-87.0
-62,-64,-82,-88,0,0,-88,0,0,-86,0,0,0,0,0,0,0,0,,-89.0,-87.0
-49,-61,-77,-90,0,0,-87,0,0,-86,0,0,0,0,0,0,0,0,,-89.0,-87.0
-50,-62,-80,-90,0,0,-91,0,0,-86,0,0,0,0,0,0,0,0,,-89.0,-87.0
-50,-62,-79,-89,0,0,-89,0,0,-86,0,0,0,0,0,0,0,0,,-89.0,-87.0
-49,-60,-80,-84,0,0,-90,0,0,-86,0,0,0,0,0,0,0,0,,-89.0,-87.0
-52,-63,-78,-86,0,0,-90,0,0,-86,0,0,0,0,0,0,0,0,,-89.0,-87.0
-47,-61,-73,-86,0,0,-85,0,0,-88,0,0,0,0,0,0,0,0,,-89.0,-87.0
-49,-62,-72,-88,0,0,-88,0,0,-89,0,0,0,0,0,0,0,0,,-89.0,-87.0
-49,-61,-73,-88,0,0,-90,0,0,-89,0,0,0,0,0,0,0,0,,-89.0,-87.0
-49,-67,-76,-83,0,0,-86,0,0,-89,0,0,0,0,0,0,0,0,,-89.0,-87.0
-53,-71,-81,-84,0,0,-89,0,0,-89,0,0,0,0,0,0,0,0,,-89.0,-87.0
-53,-71,-80,-85,0,0,-88,0,0,-89,0,0,0,0,0,0,0,0,,-89.0,-87.0
